how are glacier caves formed 	A partly submerged glacier cave on Perito Moreno Glacier
all the other problems
At first man counted on his fingers and then his toes As the problems
grew in size he used pebbles and sticks and finally beads These
became the abacus a clever calculating device still in constant use in
many parts of the world Only now with the advent of lowcost
computers are the Japanese turning from the _soroban_ their version of
the abacus
The largescale computers we are becoming familiar with are not really
as new as they seem An Englishman named Babbage built what he called
a difference engine way back in 1831 This complex mechanical
computer cost a huge sum even by todays standards and although it
was never completed to Babbages satisfaction it was the forerunner
and model for the successful large computers that began to appear a
hundred years later In the meantime of course electronics has come
to the aid of the designer Today computer switches operate at
billionthsofasecond speeds and thus make possible the rapid
handling of quantities of work like the 14 billion checks we
Americans wrote in 1961
There are dozens of companies now in the computer manufacturing field
producing a variety of machines ranging in price from less than a
hundred dollars total price to rental fees of 100000 a month or more
Even at these higher prices the big problem of some manufacturers is to
keep up with demand A 1 billion market in 1960 the computer field is
predicted to climb to 5 billion by 1965 and after that it is anyones
guess Thus far all expert predictions have proved extremely
conservative
The path of computer progress is not always smooth Recently a computer
which had been installed on a toll road to calculate charges was so
badly treated by motorists it had to be removed Another unfortunate
occurrence happened on Wall Street A clever man juggled the controls of
a large computer used in stockmarket work and made himself a quarter
of a million dollars though he ultimately landed in jail for his
illegal computer button pushing Interestingly there is one corrective
institution which already offers a course in computer engineering for
its inmates
So great is the impact of computers that lawyers recently met for a
threeday conference on the legal aspects of the new machines Points
taken up included Can business records on magnetic tape or other
storage media be used as evidence Can companies be charged with
mismanagement for not using computers in their business How can
confidential material be handled satisfactorily on computers
Along with computing machines a whole new technology is growing
Universities and collegeseven high schoolsare teaching courses in
computers And the computer itself is getting into the teaching business
too The teaching machine is one of the most challenging computer
developments to come along so far These mechanical professors range
from simple programmed notebooks such as the Book of Knowledge and
Encyclopedia Britannica are experimenting with to complex computerized
systems such as that developed by US Industries Inc for the Air
Force and others
The computer as a teaching machine immediately raises the question of
intelligence and whether or not the computer has any Debate waxes hot
on this subject but perhaps one authority was only half joking when he
said that the computer designers competition was a unit about the size
of a grapefruit using only a tenth of a volt of electricity with a
memory 10000 times as extensive as any existing electronic computer
This is a brief description of the human brain of course
When the first computers appeared those like ENIAC and BINAC fiction
writers and even some science writers had a field day turning the
machines into diabolical brains Whether or not the computer really
thinks remains a controversial question Some top scientists claim that
the computer will eventually be far smarter than its human builder
equally reputable authorities are just as sure that no computer will
ever have an original thought in its head Perhaps a safe middle road is
expressed with the title of this book namely that the machine is simply
an extension of the human brain A highspeed abacus or slide rule if
you will accurate and foolproof but a moron nonetheless
There are some interesting machinebrain parallels of course Besides
its ability to do mathematics the computer can perform logical
reasoning and even make decisions It can read and translate
remembering is a basic part of its function Scientists are now even
talking of making computers dream in an attempt to come up with new
ideas
More similarities are being discovered or suggested For instance the
interconnections in a computer are being compared with and even crudely
patterned after the brains neurons A new scientific discipline
called bionics concerns itself with such studies Far from being a
oneway street bionics works both ways so that engineers and biologists
alike benefit In fact some new courses being taught in universities
are designed to bridge the gap between engineering and biology
At one time the only learning a computer had was soldered in today
the machines are being forced to learn by the application of
punishment or reward as necessary Free learning in computers of the
Perceptron class is being experimented with These studies and
statements like those of renowned scientist Linus Pauling that he
expects a molecular theory of learning in human beings to be
developed are food for thought as we consider the parallels our
electronic machines share with us Psychologists at the University of
London foresee computers not only training humans but actually watching
over them and predicting imminent nervous breakdowns in their charges
Illustration
  _Cornell Aeronautical Laboratory_
  Bank of association units in Mark I Perceptron a machine that
    learns from experience

To demonstrate their skill many computers play games of ticktacktoe
checkers chess Nim and the like A simple electromechanical computer
designed for young people to build can be programmed to play
ticktacktoe expertly Checker and chessplaying computers are more
sophisticated many of them learning as they play and capable of an
occasional move classed as brilliant by expert human players The IBM
704 computer has been programmed to inspect the results of its possible
decisions several moves ahead and to select the best choice At the end
of the game it prints out the winner and thanks its opponent for the
game Rated as polite but only an indifferent player by experts the
computer is much like the checkerplaying dog whose master scoffed at
him for getting beaten three games out of five Chess may well be an
ultimate challenge for any kind of brain since the fastest computer in
operation today could not possibly work out all the possible moves in a
game during a human lifetime
As evidenced in the sciencefiction treatment early machines got the
first computers were monsters at least in size Pioneering design
efforts on machines with the capacity of the brain led to plans for
something roughly the size of the Pentagon equipped with its own
Niagara for power and cooling and a price tag the world couldnt
afford As often seems to happen when a need arises though new
developments have come along to offset the initial obstacles of size and
cost
One such development was the transistor and other semiconductor devices
Tiny and rugged these components require little power With the old
vacuumtubes replaced computers shrank immediately and dramatically On
the heels of this microminiaturization have come new and even smaller
devices called ferrite cores and cryotrons using magnetism and
supercold temperatures instead of conventional electronic techniques
As a result an amazing number of parts can be packed into a tiny
volume Socalled molecular electronics now seems to be a possibility
and designers of computers have a gleam in their eyes as they consider
progress being made toward matching the packaging density of the
brain This human computer has an estimated 100 billion parts per cubic
foot
We have talked of reading and translating Some new computers can also
accept voice commands and speak themselves Others furnish information
in typed or printed form punched cards or a display on a tube or
screen
Like us the computer can be frustrated by a task beyond its
capabilities A wrong command can set its parts clicking rapidly but in
futile circles Early computers for example could be panicked by the
order to divide a number by zero The solution to that problem of course
is infinity and the poor machine had a hard time trying to make such an
answer good
Illustration
  _Aeronutronic Division Ford Motor Co_
  This printedcircuit card contains more than 300 BIAX memory elements
    Multiples of such cards mounted in computers store large amounts of
    information

There are other quainter stories like that of the pioneer General
Electric computer that simply could not function in the dark All day
long it hummed efficiently but problems left with it overnight came out
horribly botched for no reason that engineers could discover At last it
was found that a light had to be left burning with the scary machine
Neon bulbs in the computer were enough affected by light and darkness
that the delicate electronic balance of the machine had been upset
Among the computers unusual talents is the ability to compose music
Such music has been published and is of a quality to give rise to
thoughtful speculation that perhaps great composers are simply good
selectors of music In other words all the combinations of notes and
meter exist the composer just picks the right ones No less an
authority than Aaron Copland suggests that well get our new music by
feeding information into an electronic computer Not content with
merely writing music some computers can even play a tune At Christmas
time carols are rendered by computers specially programmed for the
task The result is not unlike a melody played on a pipe organ
In an interesting switch of this musical ability on the part of the
machine Russian engineers check the reliability of their computers by
having them memorize Mozart and Grieg Each part of the complex machines
is assigned a definite musical value and when the composition is
played back by the computer the engineer can spot any defects
existing in its circuitry Such computer maintenance would seem to be an
ideal field for the music lover
In a playful mood computers match pennies with visitors explain their
inner workings as they whiz through complex mathematics and are even
capable of what is called heuristic reasoning This amounts to playing
hunches to reach shortcut solutions to otherwise unsolvable problems A
Rand Corporation computer named JOHNNIAC demonstrated this recently It
was given some basic axioms and asked to prove some theorems JOHNNIAC
came up with the answers and in one case produced a proof that was
simpler than that given in the text As one scientist puts it If
computers dont really think they at least put on a pretty creditable
imitation of the real thing
Computers are here to stay this has been established beyond doubt The
only question remaining is how fast the predictions made by dreamers and
sciencefiction writersand now by sober scientistswill come to be a
reality When we consider that in the few years since the 1953 crop of
computers their capacity and speed has been increased more than
fiftyfold and is expected to jump another thousandfold in two years
these dreams begin to sound more and more plausible
One quite probable use for computers is medical diagnosis and
prescription of treatment Electronic equipment can already monitor an
ailing patient and send an alarm when help is needed We may one day
see computers with a builtin bedside manner aiding the family doctor
The accomplished inroads of computing machines in business are as
nothing to what will eventually take place Already computer
gameplaying has extended to business management and serious
executives participate to improve their administrative ability We speak
of decisionmaking machines business decisions are logical applications
for this ability Computers have been given the job of evaluating
personnel and assigning salaries on a strictly logical basis Perhaps
this is why in surveys questioning increased use of the machines each
executive level in general tends to rate the machines ability just
below its own
Other games played by the computer are war games and computers like
SAGE are well known This system not only monitors all air activity but
also makes decisions assigns targets and then even flies the
interceptor planes and guided missiles on their missions Again in the
sky the increase of commercial air traffic has perhaps reached the
limit of human ability to control it Computers are beginning to take
over here too planning flights and literally flying the planes
Surface transport can also be computercontrolled Railroads are
beginning to use the computer techniques and automatic highways are
inevitable Ships also benefit and special systems coupled to radar can
predict courses and take corrective action when necessary
Men seem to have temporarily given up trying to control the weather but
using computers meteorologists can take the huge mass of data from all
over the world and make predictions rapidly enough to be of use
We have talked of the computers giant strides in banking Its wide use
in stores is not far off An English computer firm has designed an
automatic supermarket that assembles ordered items prices them and
delivers them to the check stand At the same time it keeps a running
inventory price record and profit and loss statement besides billing
the customer with periodic statements The storekeeper will have only to
wash the windows and pay his electric power bill
Even trading stamps may be superseded by computer techniques that keep
track of customer purchases and credit him with premiums as he earns
them Credit cards have helped pioneer computer use in billing it is
not farfetched to foresee the day when we are issued a lifetime
allinclusive credit cardperhaps with our birth certificatea card
with our thumbprint on it that will buy our food pay our rent and
utilities and other bills A central computer system will balance our
expenses against deposits and from time to time let us know how we stand
financially
As with many other important inventions the computer and its technology
were spurred by war and are aided now by continuing threats of war It
is therefore pleasant to think on the possibilities of a computer system
programmed for peace a gigantic worldwide system whose input
includes all recorded history of all nations all economic and cultural
data all weather information and other scientific knowledge The output
of such a machine hopefully would be a best plan for all of us Such a
computer would have no ax to grind and no selfish interests unless they
were fed into it
Given all the facts it would punch out for us a set of instructions
that would guarantee us the best life possible This has long been a
dream of science writers H G Wells was one of these suggesting a
world clearinghouse of information in his book _World Brain_ written in
the thirties In this country scientist Vannevar Bush suggested a
similar computer called Memex which could store huge amounts of data
and answer questions put to it
The huge amounts of informationbooks articles speeches and records
of all sortsare beginning to make it absolutely necessary for an
efficient information retrieval system Many cases have been noted in
which much time and effort are spent on a project which has already been
completed but then has become lost in the welter of literature crammed
into libraries The computer is a logical device for such work in a
recent test such a machine scored 86 per cent in its efforts to locate
specific data on file Trained workers rated only 38 per cent in the
same test
Illustration
  _The Boeing Co_
  Engineers using computers to solve complex problems in aircraft
    design

The science of communication is advancing along with that of computers
and can help make the dream of a worldwide brain come true Computers
in distant cities are now linked by telephone lines or radio and
highspeed techniques permit the transmission of many thousands of words
per _second_ across these data links An interesting sidelight is the
fact that an ailing computer can be hooked by telephone line with a
repair center many miles away and its ailments diagnosed by remote
control Communications satellites that are soon to be dotting the sky
like tiny moons may well play a big part in computing systems of the
future Global weather prediction and worldwide coordination of trade
immediately come to mind
While we envision such farreaching applications lets not lose sight
of the possibilities for computer use closer to homeright in our homes
as a matter of fact Just as early inventors of mechanical power devices
did not foresee the day when electric drills and saws for hobbyist would
be commonplace and the gasoline engine would do such everyday chores as
cutting the grass in our yards the makers of computers today cannot
predict how far the computer will go in this direction Perhaps we may
one day buy a Little Dandy ElectroBrain and plug it into the wall
socket for solving many of the everyday problems we now often guess
wrong on
Illustration
  _Royal McBee Corp_
  Students at Staples High School Westport Connecticut attend a
    summer session to learn the techniques of programming and operating
    an electronic computer

Illustration
  _The Saturday Evening Post_
  Herberts been replaced by an electronic brainone of the simpler
    types

Some years ago a group of experts predicted that by 1967 the world
champion chess player would be an electronic computer No one has yet
claimed that we would have a president of metal and wire but some
interesting signposts are being put up Computers are now used widely to
predict the result of elections Computers count the votes and some
have suggested that computers could make it possible for us to vote at
home The government is investigating the effectiveness of a
decisionmaking computer as a standby aid for the President in this
complex age we are moving into No man has the ability to weigh every
factor and to make decisions affecting the world Perhaps a computer can
serve in an advisory capacity to a president or to a World Council
perhaps
It is comforting to remember that men will always tell the computer what
it is supposed to do No computer will ever run the world any more than
the cotton gin or the steam engine or television runs the world And in
an emergency we can always pull out the wallplug cant we

    _History is but the unrolled scroll of prophecy_
                    James A Garfield
                         2 The Computers Past
Although it seemed to burst upon us suddenly the jet airplane can trace
its beginnings back through the fabric wings of the Wrights to the wax
wings of Icarus and Daedalus and the steam aerophile of Hero in ancient
Greece The same thing is true of the computer the thinking machine
we are just now becoming uncomfortably aware of No brash upstart it
has a long and honorable history
Naturalists tell us that man is not the only animal that counts Birds
particularly also have an idea of numbers Birds incidentally use
tools too We seem to have done more with the discoveries than our
feathered friends at least no one has yet observed a robin with a slide
rule or a snowy egret punching the controls of an electronic digital
computer However the very notion of mere birds being tool and number
users does give us an idea of the antiquity and lengthy heritage of the
computer
The computer was inevitable when man first began to make his own
problems When he lived as an animal life was far simpler and all he
had to worry about was finding game and plants to eat and keeping from
being eaten or otherwise killed himself But when he began to dabble in
agriculture and the raising of flocks when he began to think
consciously and to reflect about things man needed help
First came the hand tools that made him more powerful the spears and
bows and arrows and clubs that killed game and enemies Then came the
tools to aid his waking brain Some 25000 years ago man began to
count This was no mean achievement the dim foggy dawning of the
concept of number perhaps in the caves in Europe where the walls have
been found marked with realistic drawings of bison Some budding
mathematical genius in a skin garment only slightly shaggier than his
mop of hair stared blinking at the drawings of two animals and then
dropped his gaze to his two hands A crude tentative connection jelled
in his inchoate gray matter and he shook his head as if it hurt It was
enough to hurt this discovery of number and perhaps this particular
pioneer never again put two and two together But others did if not
that year the next
Armed with his grasp of numbers man didnt need to draw two mastodons
or sheep or whatever Two pebbles would do or two leaves or two
sticks He could count his children on his fingerswe retain the
expression a handful to this day though often our children are
another sort of handful Of course the caveman did not of a sudden do
sums and multiplications When he began to write perhaps 5000 years
later he had formed the concept of one two several and many
Besides counting his flock and his children and the number of the
enemy man had need for counting in another way There were the seasons
of the year and a farmer or breeder had to have a way of reckoning the
approach of new life His calendar may well have been the first
mathematical device sophisticated enough to be called a computer
It was natural that numbers be associated with sex The calendar was
related to the seasons and the bearing of young The number three for
example took on mystic and potent connotation representing as it did
mans genitals Indeed numbers themselves came quaintly to have sex
One three and the other odd numbers were male the symmetrical even
numbers logically were female
The notion that man used the decimal system because of his ten fingers
and toes is general but it was some time before this refinement took
place Some early peoples clung to a simpler system with a base of only
two and interestingly a tribe of Australian aborigines counts today
thus _enea_ 1 _petchaval_ 2 _enea petchaval_ 3 _petchaval
petchaval_ 4 Before we look down our noses at this nave system let
us consider that highspeed electronic computers use only two values 1
and 0
But slowly symbols evolved for more and more numbers numbers that at
first were fingers and then perhaps knots tied in a strip of hide This
crude counting aid persists today and cowboys sometimes keep rough
tallies of a herd by knotting a string for every five that pass Somehow
numbers took on other meanings like those that figure in courtship in
certain Nigerian tribes In their language the number six also means I
love you If the African belle is of a mind when her boyfriend tenderly
murmurs the magic number she replies in like tone Eight which
means I feel the same way
From the dawn of history there have apparently been two classes of us
human beings the haves and the have nots Nowadays we get bills or
statements from our creditors in early days when a slate or clay
tablet was the document a forerunner of the carbon copy or duplicate
paper developed Tallies were marked for the amount of the debt the
clay tablet was broken across the marks and creditor and debtor each
took half No chance for cheating since a broken half would fit only
the proper mate
Numbers at first applied only to discrete or distinctly separate
things The scratches on a calendar the tallies signifying the count of
a flock these were more easily reckoned The idea of another kind of
number inspired the first clocks Here was a monumental breakthrough in
mathematics Nature provided the sunrise that clearly marked the
beginning of each day man himself thought to break the day into
hours or parts of the whole Such a division led eventually to
measurement of size and weight Now early man knew not only how many
goats he had but how many hands high they were and how many stones
they weighed This further division ordained another kind of mechanical
computer man must someday contrivethe analog
The first counting machines used were pebbles or sea shells For the
Stone Age businessman to carry around a handful of rocks for all his
transactions was at times awkward and big deals may well have gone
unconsummated for want of a stone Then some genius hit on the idea of
stringing shells on a bit of reed or hide or more probably the necklace
came first as adornment and the utilitarian spotted it after this style
note had been added At any rate the portable adding machine became
available and our early day accountant grew adroit at sliding the beads
back and forth on the string From here it was only a small step taken
perhaps as early as 3000 BC to the rigid counter known as the abacus
The word counter is one we use in everyday conversation We buy stock
over the counter some deals are under the counter We all know what the
counter itself isthat wide board that holds the cash register and
separates us from the shopkeeper At one time the cash register _was_
the counter actually the counting board had rods of beads like the
abacus or at least grooves in which beads could be moved The totting
up of a transaction was done on the counter it is still there
although we have forgotten whence came its name
The most successful computer used for the next 5000 years the portable
counter or the abacus is a masterpiece of simplicity and
effectiveness Though only a frame with several rows of beads it is
sophisticated enough that as late as 1947 Kiyoshi Matsuzake of the
Japanese Ministry of Communications armed with the Japanese versiona
_soroban_ bested Private Tom Wood of the U S Army of Occupation
punching the keys of an uptotheminute electric calculating machine in
four of five problem categories Only recently have Japanese banks gone
over to modern calculators and shopkeepers there and in other lands
still conduct business by this rule of thumb and forefinger
Illustration
  The abacus ancient mechanical computer is still in use in many parts
    of the world Here is the Japanese version the _soroban_ with
    problem being set up

The name abacus comes to us by way of the Greek _abax_ meaning dust
Scholars infer that early sums were done schoolboy fashion in Greece
with a stylus on a dusty slate and that the word was carried over to
the mechanical counter The design has changed but little over the years
and all abacuses bear a resemblance The major difference is the number
of beads on each row determined by the mathematical base used in the
particular country Some in India for example were set up to handle
pounds and shillings for use in shops Others have a base of twelve The
majority however use the decimal system Each row has seven beads
with a runner separating one or two beads from the others Some systems
use two beads on the narrow side some only one this is a mathematical
consideration with political implications incidentally The Japanese
_soroban_ has the singlebead design Koreas _son pan_ uses two When
Japan took over Korea the twobead models were tabu and went out of use
until the Koreans were later able to win their independence again
About the only thing added to the ancient abacus in recent years is a
movable arrow for marking the decimal point W D Loy patented such a
gadget in the United States Today the abacus remains a useful device
not only for business but also for the teaching of mathematics to
youngsters who can literally grasp their numbers For that reason it
ought also to be helpful to the blind and as a therapeutic aid for
manual dexterity Apparently caught up in the trend toward smaller
computers the abacus has been miniaturized to the extent that it can be
worn as earrings or on a key chain
Even with mechanical counters early mathematicians needed written
numbers The cavemans straightline scratches gave way to
hieroglyphics to the Sumerian cuneiform wedges to Roman numerals
and finally to Hindu and Arabic Until the numbers 1 2 3 4 5 6 7
8 9 and that most wonderful of all 0 or zero computations of any but
the simplest type were apt to be laborious and timeconsuming Even
though the Romans and Greeks had evolved a decimal system their
numbering was complex To count to 999 in Greek required not ten numbers
but twentyseven The Roman number for 888 was DCCCLXXXVIII Multiplying
CCXVII times XXIX yielded an answer of MMMMMMCCXCIII to be sure but
not without some difficulty It required an abacus to do any kind of
multiplication or division
Indeed it was perhaps from the abacus that the clue to Arabic
simplicity came The Babylonians antedating the Greeks had
nevertheless gone them one better in arithmetic by using a place
system In other words the position of a number denoted its value The
Babylonians simply left an empty space between cuneiform number symbols
to show an empty space in this positional system Sometime prior to 300
BC a clever mathematician tired of losing track and punched a dot in
his clay tablet to fill the empty space and avoid possible error
The abacus shows these empty spaces on its rows of beads too and
finally the Hindus combined their nine numerals with a dot with a hole
in it and gave the mathematical world the zero In Hindu it was _sifr_
corrupted to _zephirium_ in Latin and gives us today both cipher and
zero This enigma of nothingness would one day be used by Leibnitz to
prove that God made the world it would later become half the input of
the electronic computer Meantime it was developed independently in
various other parts of the world the ancient Mayans being one example
Impressed as we may be by an electronic computer it may take some
charity to recognize its forebears in the scratchings on a rock To call
the calendar a computer we must in honesty add a qualifying term like
passive The same applies to the abacus despite its movable counters
But time which produced the simple calendar also furnished the
incentive for the first active computers too The hourglass is a
primitive example as is the sundial Both had an input a power source
and a readout The clock interestingly ended up with not a decimal
scheme but one with a base of twelve Early astronomers began
conventionally bunching days into groups of ten and located different
stars on the horizon to mark the passage of the ten days It was but a
step from here to use these decans as they were called to further
divide each night itself into segments It turned out that 12 decans did
the trick and since symmetry was a virtue the daylight was similarly
divided by twelve giving us a day of 24 hours rather than 10 or 20
From the simple hourglass and the more complex water clocks the Greeks
progressed to some truly remarkable celestial motion computers One of
these built almost a hundred years before the birth of Christ was
recently found on the sea bottom off the Greek island of Antikythera It
had been aboard a ship which sank and its discovery came as a surprise
to scholars since history recorded no such complex devices for that era
The salvaged Greek computer was designed for astronomical work showing
locations of stars predicting eclipses and describing various cycles
of heavenly bodies Composed of dozens of gears shafts slip rings and
accurately inscribed plates it was a computer in the best sense of the
word and was not exceeded technically for many centuries
The Greek engineer Vitruvius made an interesting observation when he
said All machinery is generated by Nature and the revolution of the
universe guides and controls Our fathers took precedents from
Naturedeveloped the comforts of life by their inventions They rendered
some things more convenient by machines and their revolutions
Hindsight and language being what they are today we can make a nice
play on the word revolution as applied to the machine The Antikythera
computer was a prime example of what Vitruvius was talking about
Astronomy was such a complicated business that it was far simpler to
make a model of the many motions rather than diagram them or try to
retain them in his mind
There were of course some diehard classicists who decried the use of
machines to do the work of pure reasoning Archytas who probably
invented the screwor at least discovered its mechanical
principleattempted to apply such mechanical devices to the solving of
geometrical problems For this he was taken to task by purist Plato who
sought to preserve the distinct division between mind and machine
Yet the syllogistic philosophers themselves with their major premise
minor premise and conclusion were unwittingly setting the stage for a
different kind of computerthe logic machine Plato would be horrified
today to see crude decks of cards or simple electromechanical
contrivances solving problems of reason far faster than he could in
fact as fast as the conditions could be set into them

                       _The Mechanics of Reason_
Aristotle fathered the syllogism or at least was first to investigate
it rigorously He defined it as a formal argument in which the
conclusion follows logically from the premises There are four common
statements of this type
                            All S for is P for
                              subject predicate
                    No S for subject is P
                           Some S for is P
                              subject
                           Some S for is not P
                              subject
Thus Aristotle might say All men are mortal or No men are immortal
as his subject Adding an M middle term Aristotle is a man as a
minor premise he could logically go on and conclude Aristotle being a
man is thus mortal Of course the syllogism unwisely used as it often
is can lead to some ridiculously silly answers All tables have four
legs Two men have four legs Thus two men equal a table
Despite the weaknesses of the syllogism nevertheless it led eventually
to the science of symbolic logic The pathway was circuitous even
devious at times but slowly the idea of putting thought down as letters
or numbers to be logically manipulated to reach proper conclusions
gained force and credence While the Greeks did not have the final say
they did have words for the subject as they did for nearly everything
else
Let us leave the subject of pure logic for a moment and talk of another
kind of computing machine that of the mechanical doer of work In the
_Iliad_ Homer has Hephaestus the god of natural fire and metalworking
construct twenty threewheeled chariots which propel themselves to and
fro bringing back messages and instructions from the councils of the
gods These early automatons boasted pure gold wheels and handles of
curious cunning
Man has apparently been a lazy cuss from the start and began straightway
to dream of mechanical servants to do his chores In an age of magic and
fear of the supernatural his dreams were fraught with such machines that
turned into evil monsters The Hebrew golem was made in the shape of
man but without a soul and often got out of hand Literature has
perpetuated the idea of machines running amok as the broom in The
Sorcerers Apprentice but there have been benevolent machines too
TikTok a latterday windup man in _The Road to Oz_ could think and
talk and do many other things men could do He was not alive of course
but he had the saving grace of always doing just what he was wound up
to do
Having touched on the subject of mechanical men let us now return to
mechanical logic Since the Greeks many men have traveled the road of
reason but some stand out more brightly more colorfully than others
Such a standout was the Spanish monk Ramn Lull Lull was born in 1232
A court page he rose in influence married young and had two children
but did not settle down to married domesticity A wildly reckless
romantic he was given to such stunts as galloping his horse into church
in pursuit of some lady who caught his eye One such escapade led to a
remorseful reexamination of himself and dramatic conversion to
Christianity
He began to write books in conventional praise of Christ but early in
his writings a preoccupation with numbers appears His _Book of
Contemplation_ for example actually contains five books for the five
wounds of the Saviour and forty subdivisions for the days He spent in
the wilderness There are 365 chapters for daily reading plus one for
reading only in leap years Each chapter has ten paragraphs symbolizing
the ten commandments and three parts to each chapter These multiplied
give thirty for the pieces of silver Beside religious and mystical
connotations geometric terms are also used and one interesting device
is the symbolizing of words and even phrases by letters This ties in
neatly with syllogism A sample follows
 diversity is shown in the demonstration that the D makes of the E and
the F and the G with the I and the K therefore the H has certain
scientific knowledge of Thy holy and glorious Trinity
This was only prologue to the _Ars Magna_ the Great Art of Ramn
Lull In 1274 the devout pilgrim climbed Mount Palma in search of
divine help in his writings The result was the first recorded attempt
to use diagrams to discover and to prove nonmathematical truths
Specifically Lull determined that he could construct mechanical devices
that would perform logic to prove the validity of Gods word Where
force in the shape of the Crusades had failed Lull was convinced that
logical argument would win over the infidels and he devoted his life to
the task
Renouncing his estate including his wife and children Lull devoted
himself thenceforth solely to his Great Art As a result of dreams he
had on Mount Palma the basis for this work was the assumption of simple
premises or principles that are unquestionable Lull arranged these
premises on rotating concentric circles The first of these wheels of
logic was called A standing for God Arranged about the circumference
of the wheel were sixteen other letters symbolizing attributes of God
The outer wheel also contained these letters Rotating them produced 240
twoterm combinations telling many things about God and His good Other
wheels prepared sermons advised physicians and scientists and even
tackled such stumpers as Where does the flame go when the candle is put
out
Illustration
  From the _Enciclopedia universal illustrada_
  Barcelona 1923
  Lulls wheel

Unfortunately for Lull even divine help did not guarantee him success
He was stoned to death by infidels in Bugia Africa at the age of
eightythree All his wheelspinning logic was to no avail in advancing
the cause of Christianity there and most mathematicians since have
scoffed at his nave devices as having no real merit Far from accepting
the _Ars Magna_ most scholars have been Lulled into a secure sense of
falsity finding it as specious as indiscriminate syllogism
Yet Lull did leave his mark and many copies of his wheels have been
made and found useful Where various permutations of numbers or other
symbols are required such a mechanical tool is often the fastest way of
pairing them up Even in the field of writing a Lullian device was
popular a few decades ago in the form of the Plot Genii With this
gadget the wouldbe author merely spun the wheels to match up various
characters with interesting situations to arrive at story ideas Other
versions use cards to do the same job and one called Plotto was used by
its inventor William Wallace Cook to plot countless stories Although
these were perhaps not ideas for great literature eager writers paid as
much as 75 for the plot boiler
Not all serious thinkers relegated Lull to the position of fanatic
dreamer and gadgeteer No less a mind that Gottfried Wilhelm von
Leibnitz found much to laud in Lulls works The _Ars Magna_ might well
lead to a universal algebra of all knowledge thought Leibnitz If
controversies were to arise he then mused there would be no more
reason for philosophers to dispute than there would for accountants
Leibnitz applied Lulls work to formal logic constructed tables of
syllogisms from which he eliminated the false and carried the work of
the gifted crank at bit nearer to true symbolic logic Leibnitz also
extended the circle idea to that of overlapping them in early attempts
at logical manipulation that foreshadowed the work that John Venn would
do later Leibnitz also saw in numbers a powerful argument for the
existence of God God he saw as the numeral 1 and 0 was the
nothingness from which He created the world There are those including
Voltaire whose _Candide_ satirized the notion who question that it is
the best of all possible worlds but none can question that in the
seventeenth century Leibnitz foresaw the coming power of the binary
system He also built arithmetical computers that could add and
subtract multiply and divide
A few years earlier than Leibnitz Blaise Pascal was also interested in
computing machines As a teenager working in his fathers tax office
Pascal wearied of adding the tedious figures so he built himself a
geardriven computer that would add eight columns of numbers A tall
figure in the scientific world Pascal had fathered projective geometry
at age sixteen and later established hydrodynamics as a science To
assist a gambler friend he also developed the theory of probability
which led to statistical science
Another mathematical innovation of the century was that of placing
logarithms on a stick by the Scot John Napier What he had done of
course was to make an analog or scale model of the arithmetical
numbers Napiers bones quickly became what we now call slide rules
forerunners of a whole class of analog computers that solve problems by
being actual models of size or quantity Newton joined Leibnitz in
contributing another valuable tool that would be used in the computer
that of the calculus
                      _The Computer in Literature_
Even as Plato had viewed with suspicion the infringement of mechanical
devices on mans domain of higher thought other men have continued to
eye the growth of mechanisms with mounting alarm The scientist and
inventor battled not merely technical difficulties but the scornful
satire and righteous condemnation of some of their fellow men Jonathan
Swift the Irish satirist who took a swipe at many things that did not
set well with his views lambasted the computing machine as a substitute
for the brain In Chapter V Book Three of _Gullivers Travels_ the
good dean runs up against a scheming scientist in Laputa
The first Professor I saw was in a very large Room with Forty Pupils
about him After Salutation observing me to look earnestly upon a
Frame which took up the greatest part of both the Length and Breadth of
the Room he said perhaps I might wonder to see him employed in a
Project for improving speculative knowledge by practical and mechanical
Operations But the World would soon be sensible of its Usefulness and
he flattered himself that a more noble exalted Thought never sprang in
any other Mans Head Every one knew how laborious the usual Method is
of attaining to Arts and Sciences whereas by his Contrivance the most
ignorant Person at a reasonable Charge and with a little bodily Labour
may write Books in Philosophy Poetry Politicks Law Mathematicks and
Theology without the least Assistance from Genius or Study He then led
me to the Frame about the Sides whereof all his Pupils stood in Ranks
It was a Twenty Foot Square placed in the Middle of the Room The
Superfices was composed of several Bits of Wood about the Bigness of a
Dye but some larger than others They were all linked together by
slender Wires These Bits of Wood were covered on every Square with
Papers pasted on them and on these Papers were written all the Words of
their Language in their several Moods Tenses and Declensions but
without any Order The Professor then desired me to observe for he was
going to set his Engine to work The Pupils at his Command took each the
hold of an Iron Handle whereof there were Forty fixed round the Edges
of the Frame and giving them a sudden Turn the whole Disposition of
the Words was entirely changed He then commanded Six and Thirty of the
Lads to read the several Lines softly as they appeared upon the Frame
and where they found three or four Words together that might make Part
of a Sentence they dictated to the four remaining Boys who were
Scribes This work was repeated three or four Times and at every Turn
the Engine was so contrived that the Words shifted into new Places as
the square Bits of Wood moved upside down
Six hours aday the young Students were employed in this Labour and the
Professor showed me several Volumes in large Folio already collected of
broken Sentences which he intended to piece together and out of those
rich Materials to give the World a compleat Body of Art and Sciences
